date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:01:24	47/47	---MCZ	302	error ('Found')	text/plain	date:Wed,%2012%20Apr%202023%2021:01:26%20GMT	https://unpkg.com/plyr@3/dist/plyr.css	C:/My%20Web%20Sites/fhfghf/unpkg.com/plyr@3/dist/plyr.8.delayed	(from https://wondrium.7xm.xyz/)
02:01:25	32564/32564	---MCZ	200	added ('OK')	text/css	etag:%227f34-PpVh+3oqcLk7sQFPXZWLEj/mF2Q%22	https://unpkg.com/plyr@3.7.8/dist/plyr.css	C:/My%20Web%20Sites/fhfghf/unpkg.com/plyr@3.7.8/dist/plyr.css	(from https://wondrium.7xm.xyz/)
02:01:25	86574/86574	---M-Z	200	added ('OK')	application/x-javascript	etag:%221522e-60ca04b2-4640ef;gz%22	https://wondrium.7xm.xyz/public/assets/js/jquery.min.js	C:/My%20Web%20Sites/fhfghf/wondrium.7xm.xyz/public/assets/js/jquery.min.js	(from https://wondrium.7xm.xyz/)
02:01:26	36858/36858	---M-Z	200	added ('OK')	application/x-javascript	etag:%228ffa-60ca04b2-4640f0;gz%22	https://wondrium.7xm.xyz/public/assets/js/bootstrap.min.js	C:/My%20Web%20Sites/fhfghf/wondrium.7xm.xyz/public/assets/js/bootstrap.min.js	(from https://wondrium.7xm.xyz/)
02:01:27	423/423	---M-Z	200	added ('OK')	application/x-javascript	etag:%221a7-60ca04b2-4640ee;gz%22	https://wondrium.7xm.xyz/public/assets/js/scriptsc164.js?v=9	C:/My%20Web%20Sites/fhfghf/wondrium.7xm.xyz/public/assets/js/scriptsc164c164.js	(from https://wondrium.7xm.xyz/)
02:01:27	102/102	---M--	301	error ('Moved%20Permanently')	text/plain	date:Wed,%2012%20Apr%202023%2021:01:29%20GMT	https://cdn.rawgit.com/video-dev/hls.js/18bb552/dist/hls.min.js	C:/My%20Web%20Sites/fhfghf/cdn.rawgit.com/video-dev/hls.js/18bb552/dist/hls.min.d.delayed	(from https://wondrium.7xm.xyz/)
02:01:28	242753/242753	---M-Z	200	added ('OK')	application/javascript	etag:W/%223b441-NLqYJ+zq89tuAgvdh8ETiNacCjM%22	https://cdn.jsdelivr.net/gh/video-dev/hls.js@18bb552/dist/hls.min.js	C:/My%20Web%20Sites/fhfghf/cdn.jsdelivr.net/gh/video-dev/hls.js@18bb552/dist/hls.min.js	(from https://wondrium.7xm.xyz/)
02:01:28	100/100	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2005%20Mar%202023%2016:54:09%20GMT	https://cdn.polyfill.io/v2/polyfill.min.js?features=es6,Array.prototype.includes,CustomEvent,Object.entries,Object.values,URL	C:/My%20Web%20Sites/fhfghf/cdn.polyfill.io/v2/polyfill.min85ed.js	(from https://wondrium.7xm.xyz/)
02:01:29	20127/20127	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-60ca04b2-4640f4;gz%22	https://wondrium.7xm.xyz/public/assets/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/fhfghf/wondrium.7xm.xyz/public/assets/fonts/glyphicons-halflings-regular.eot	(from https://wondrium.7xm.xyz/public/assets/css/bootstrap.min.css)
02:01:30	20127/20127	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-60ca04b2-4640f6;gz%22	https://wondrium.7xm.xyz/public/assets/fonts/glyphicons-halflings-regulard41d.eot?	C:/My%20Web%20Sites/fhfghf/wondrium.7xm.xyz/public/assets/fonts/glyphicons-halflings-regulard41dd41d.eot	(from https://wondrium.7xm.xyz/public/assets/css/bootstrap.min.css)
02:01:30	10062/10062	---M-Z	200	added ('OK')	text/html	etag:%22274e-628c148c-4640f7;gz%22	https://wondrium.7xm.xyz/public/assets/fonts/glyphicons-halflings-regular.html	C:/My%20Web%20Sites/fhfghf/wondrium.7xm.xyz/public/assets/fonts/glyphicons-halflings-regular.html	(from https://wondrium.7xm.xyz/public/assets/css/bootstrap.min.css)
02:01:31	23424/23424	---M--	200	added ('OK')	application/font-woff	etag:%225b80-60ca04b2-4640f5;;;%22	https://wondrium.7xm.xyz/public/assets/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/fhfghf/wondrium.7xm.xyz/public/assets/fonts/glyphicons-halflings-regular.woff	(from https://wondrium.7xm.xyz/public/assets/css/bootstrap.min.css)
02:01:31	45404/45404	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%22b15c-60ca04b2-4640f2;gz%22	https://wondrium.7xm.xyz/public/assets/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/fhfghf/wondrium.7xm.xyz/public/assets/fonts/glyphicons-halflings-regular.ttf	(from https://wondrium.7xm.xyz/public/assets/css/bootstrap.min.css)
02:01:31	116672/116672	---M-Z	200	added ('OK')	image/svg+xml	etag:%221c7c0-60ca04b2-4640f3;gz%22	https://wondrium.7xm.xyz/public/assets/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/fhfghf/wondrium.7xm.xyz/public/assets/fonts/glyphicons-halflings-regular.svg	(from https://wondrium.7xm.xyz/public/assets/css/bootstrap.min.css)
02:01:31	1179/1179	---M--	200	added ('OK')	image/png	etag:%2249b-60ca04b2-4640f9;;;%22	https://wondrium.7xm.xyz/public/assets/images/checked.png	C:/My%20Web%20Sites/fhfghf/wondrium.7xm.xyz/public/assets/images/checked.png	(from https://wondrium.7xm.xyz/public/assets/css/styleae52ae52.css?v=5)
02:01:32	1236/1236	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Apr%202023%2021:01:33%20GMT	https://wondrium.7xm.xyz/Popover%20requires%20tooltip.js	C:/My%20Web%20Sites/fhfghf/wondrium.7xm.xyz/Popover%20requires%20tooltip.js	(from https://wondrium.7xm.xyz/public/assets/js/bootstrap.min.js)
